cohort,dataset,outcome,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Mean baseline,351,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Elastic Net,351,0.5904729370630469,0.6226481851481852,0.7523214401565959,0.5149919211397893,0.6568944381858801,0.5472877395357019,0.6846446674727547,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Random forest,351,0.5262416803107504,0.552982017982018,0.46748374426709977,0.4456121589527196,0.6053308165967645,0.4704266873525895,0.6310548252218379,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,AUC,Mean baseline,351,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,AUC,Elastic Net,351,0.5067827331923335,0.5629581529581529,0.7523214401565959,0.4214554966213671,0.5875148832179764,0.4781589129340567,0.6378611012430956,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,AUC,Random forest,351,0.4423251497805353,0.46639194139194146,0.46748374426709977,0.365996710580057,0.5135503036958965,0.38114700770624493,0.5400389303729405,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Mean baseline,556,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Elastic Net,556,0.5779250785448345,0.6096138761754922,0.7418981722216458,0.5273467075996464,0.62830000434726,0.5524384078653797,0.661493016002403,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Random forest,556,0.5129599819644732,0.5428599853873997,0.4890097793390608,0.4539240010753951,0.5722106352304618,0.4814707339930959,0.6033182569158115,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Mean baseline,556,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Elastic Net,556,0.49384191021766977,0.5249183766161527,0.7418981722216458,0.4345997976080609,0.5476359675327281,0.45240379547819265,0.5835324687068212,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Random forest,556,0.42912287206554134,0.43415346002544347,0.4890097793390608,0.36887734999780325,0.49004753630963177,0.3626145744001142,0.5078629606046084,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Mean baseline,319,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Elastic Net,319,0.529918921112305,0.49747552788785715,0.758410830552326,0.45066713618756643,0.5995282895222674,0.4138529390928957,0.5746971756062225,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Random forest,319,0.4188702483684206,0.39551332288401253,0.46677967939760534,0.3169022484972964,0.5064547716738458,0.28953247808839716,0.4874095497284686,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_strict_sanger_heldout,GDSC1,AUC,Mean baseline,319,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_strict_sanger_heldout,GDSC1,AUC,Elastic Net,319,0.49972154581213185,0.4658407020760632,0.758410830552326,0.42113118825869494,0.5763533703541578,0.37549427773751076,0.5487097945588025,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_strict_sanger_heldout,GDSC1,AUC,Random forest,319,0.3941425830893421,0.3536031673271426,0.46677967939760534,0.2928517021525774,0.4825686021236256,0.2503551549803838,0.45106038221793365,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Mean baseline,502,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Elastic Net,502,0.5055300210261716,0.4742822023888825,0.7449843106711482,0.4425546125530274,0.5618674957245179,0.4073699425244084,0.539762399048964,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Random forest,502,0.3979937508374771,0.3805118332161764,0.48967336219050145,0.3277873569824415,0.4710456198918727,0.30003509912843357,0.4541996664160522,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Mean baseline,502,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Elastic Net,502,0.4711423849587046,0.427530340062827,0.7449843106711482,0.401808003681996,0.5348908649393923,0.3501418807186864,0.5029823908578427,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Random forest,502,0.36759483415332705,0.32678832176680117,0.48967336219050145,0.29114331432142626,0.4389854438889931,0.24634158458619684,0.40211800896602096,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
