cohort,dataset,outcome,model,n,gene_pearson_r,pathway_pearson_r,pearson_difference_pathway_minus_gene,pearson_difference_ci_2_5,pearson_difference_ci_97_5,pearson_conclusion,gene_spearman_rho,pathway_spearman_rho,spearman_difference_pathway_minus_gene,spearman_difference_ci_2_5,spearman_difference_ci_97_5,spearman_conclusion,successful_paired_bootstraps
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Elastic Net,351,0.5904729394293371,0.5124385069534468,-0.07803443247589026,-0.14428795976616388,-0.01483328366551586,individual genes favored,0.6226481851481852,0.5806787656787656,-0.04196941946941957,-0.09534383539878119,0.011914571788455813,difference uncertain,1000
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Random forest,351,0.5262416803107504,0.3933553801966151,-0.13288630011413527,-0.21098670402575603,-0.06578016883146248,individual genes favored,0.552982017982018,0.43098679098679094,-0.12199522699522702,-0.18790786585855201,-0.06828567853187362,individual genes favored,1000
GDSC2_strict_sanger_heldout,GDSC2,AUC,Elastic Net,351,0.5067827353932861,0.4418372182657741,-0.06494551712751201,-0.13617693660900282,0.010666868719520661,difference uncertain,0.5629581529581529,0.5603818403818404,-0.0025763125763125228,-0.06832632210161682,0.06513003949178724,difference uncertain,1000
GDSC2_strict_sanger_heldout,GDSC2,AUC,Random forest,351,0.4423251497805353,0.30598045490728987,-0.1363446948732454,-0.222934357861549,-0.054958518475205234,individual genes favored,0.46639194139194146,0.34780996780996776,-0.1185819735819737,-0.1835670184685953,-0.05732590756048326,individual genes favored,1000
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Elastic Net,556,0.5779250794987743,0.49985445987452076,-0.07807061962425349,-0.14064982545206745,-0.018685398484352134,individual genes favored,0.6096138761754922,0.5635301473024114,-0.046083728873080876,-0.09645170864915927,0.002275894498741177,difference uncertain,1000
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Random forest,556,0.5129599819644732,0.4179785780453233,-0.09498140391914994,-0.155719341018702,-0.0436586600456711,individual genes favored,0.5428599853873997,0.44593802176949304,-0.09692196361790661,-0.14691518909688445,-0.05089577346013121,individual genes favored,1000
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Elastic Net,556,0.4938419108405687,0.4433948554746454,-0.05044705536592331,-0.11725958346645683,0.019573390797853547,difference uncertain,0.5249183766161527,0.5161517935745682,-0.008766583041584508,-0.06658023428969671,0.05214417530846653,difference uncertain,1000
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Random forest,556,0.42912287206554134,0.33578504470078663,-0.09333782736475471,-0.1557514782331857,-0.03366416044706655,individual genes favored,0.43415346002544347,0.3460795170538932,-0.08807394297155025,-0.140228159815282,-0.037526865302659126,individual genes favored,1000
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Elastic Net,319,0.5299189221539515,0.48072348553861666,-0.049195436615334875,-0.16077770700249952,0.0520082859790276,difference uncertain,0.49747552788785715,0.5400969273082156,0.04262139942035842,-0.029278246373545393,0.1092998807573946,difference uncertain,1000
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Random forest,319,0.41887024836842046,0.3074104916765897,-0.11145975669183078,-0.19399196023161586,-0.03838898207628139,individual genes favored,0.39551332288401253,0.3080092565209676,-0.08750406636304492,-0.162095844307377,-0.022274061663611948,individual genes favored,1000
GDSC1_strict_sanger_heldout,GDSC1,AUC,Elastic Net,319,0.49972154696399373,0.4389192549238187,-0.06080229204017501,-0.16703659109810778,0.03587743753341599,difference uncertain,0.4658407020760632,0.514230052640918,0.04838935056485483,-0.02163645972896733,0.1189002370618364,difference uncertain,1000
GDSC1_strict_sanger_heldout,GDSC1,AUC,Random forest,319,0.394142583089342,0.2717447720142775,-0.12239781107506453,-0.2014704901901168,-0.05000678397656176,individual genes favored,0.3536031673271426,0.26278316673567165,-0.09082000059147094,-0.16545292110496723,-0.019517074765220698,individual genes favored,1000
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Elastic Net,502,0.5055300213921391,0.44125213547965625,-0.06427788591248285,-0.14292533145148076,0.006032189458902084,difference uncertain,0.4742822023888825,0.491296987500291,0.01701478511140847,-0.04036105766969824,0.07840434346143695,difference uncertain,1000
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Random forest,502,0.39799375083747707,0.3170090911731651,-0.08098465966431195,-0.14163546180961747,-0.02207602124783078,individual genes favored,0.3805118332161764,0.31185385717519676,-0.06865797604097962,-0.12128172941963686,-0.012605364572287624,individual genes favored,1000
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Elastic Net,502,0.47114238521640966,0.40282885160720844,-0.06831353360920123,-0.14641551790927837,0.010305397734389996,difference uncertain,0.427530340062827,0.4571531139522101,0.029622773889383114,-0.03503493134381681,0.09415855673713645,difference uncertain,1000
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Random forest,502,0.367594834153327,0.2748823788632051,-0.0927124552901219,-0.1539977956625974,-0.034329775059766664,individual genes favored,0.32678832176680117,0.24703846487124442,-0.07974985689555675,-0.1356661485010171,-0.02515878177609477,individual genes favored,1000
