cohort,dataset,outcome,representation,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,351,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,351,0.5124385069534468,0.5806787656787656,0.7642037048191609,0.43164801125039487,0.5901405378385047,0.4997757258912744,0.6466897489283135,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Random forest,351,0.3933553801966151,0.43098679098679094,0.44019896727180663,0.298570289876949,0.4772303940359937,0.33299603715614207,0.519233787260959,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Mean baseline,351,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Elastic Net,351,0.4418372182657741,0.5603818403818404,0.7642037048191609,0.3615739814096778,0.5212490409433567,0.4751474396896239,0.6301523657945709,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Random forest,351,0.30598045490728987,0.34780996780996776,0.44019896727180663,0.21352237000631785,0.3922326278435445,0.2506435096605609,0.439809011288966,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,556,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,556,0.49985445987452076,0.5635301473024114,0.8584148077260367,0.4322412572443397,0.5658430500614368,0.5030095757754064,0.620141332342261,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Random forest,556,0.4179785780453233,0.44593802176949304,0.48143137813227843,0.34746837525252694,0.4800899807461767,0.37008049049708797,0.5142425865294267,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Mean baseline,556,,,1.1102230246251565e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Elastic Net,556,0.4433948554746454,0.5161517935745682,0.8584148077260367,0.3590416840972687,0.5150157262091875,0.4368943386655796,0.5811947623230113,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.
