validation_scheme,representation,model,n,pearson_r,spearman_rho,rmse,mae,pearson_difference_pathway_minus_gene,rmse_difference_pathway_minus_gene,gene_set_file,n_pathways
Random cell-line folds,Individual genes,Elastic Net,551,0.5457005958080636,0.5626981485333888,1.027390491907597,0.8074199850756552,0.0,0.0,not applicable,
Random cell-line folds,Individual genes,Random forest,551,0.5288177680340675,0.5460307884335344,1.044015279896947,0.8295424003622991,0.0,0.0,not applicable,
Random cell-line folds,Individual genes,Mean baseline,551,-0.1146130234357385,-0.1059333421459228,1.229472389419073,1.0039464229136392,0.0,0.0,not applicable,
Held-out tissue folds,Individual genes,Mean baseline,551,-0.2134181564121206,-0.2145113153876379,1.2404775929893843,1.0139953321382995,0.0,0.0,not applicable,
Held-out tissue folds,Individual genes,Elastic Net,551,0.4578970456730177,0.4717539077351276,1.0914473509425238,0.8481009391001498,0.0,0.0,not applicable,
Held-out tissue folds,Individual genes,Random forest,551,0.4061612676543846,0.413928251185412,1.1214992570610889,0.8911197272613502,0.0,0.0,not applicable,
Random cell-line folds,Hallmark pathways,Mean baseline,551,-0.11461302343573851,-0.10593334214592284,1.229472389419073,1.0039464229136392,-1.3877787807814457e-17,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0
Random cell-line folds,Hallmark pathways,Elastic Net,551,0.43731764380161864,0.5013275180591522,1.104496814248797,0.8636069005072359,-0.10838295200644499,0.07710632234120007,h.all.v2026.1.Hs.symbols.gmt,50.0
Random cell-line folds,Hallmark pathways,Random forest,551,0.4495071190007601,0.4560192391842356,1.0977014057074008,0.8782953150147871,-0.07931064903330742,0.05368612581045373,h.all.v2026.1.Hs.symbols.gmt,50.0
Held-out tissue folds,Hallmark pathways,Mean baseline,551,-0.21341815641212064,-0.2145113153876379,1.2404775929893845,1.0139953321382995,-2.7755575615628914e-17,2.220446049250313e-16,h.all.v2026.1.Hs.symbols.gmt,50.0
Held-out tissue folds,Hallmark pathways,Elastic Net,551,0.3785204685417948,0.44573854221214754,1.151274675660067,0.9015727162931062,-0.07937657713122293,0.05982732471754315,h.all.v2026.1.Hs.symbols.gmt,50.0
Held-out tissue folds,Hallmark pathways,Random forest,551,0.31140426610711713,0.31304369346427263,1.1650904427913846,0.9304609257334329,-0.09475700154726746,0.043591185730295745,h.all.v2026.1.Hs.symbols.gmt,50.0
