pathway,genes_in_gmt,matched_expression_genes,coverage_fraction,included_in_model
HALLMARK_ADIPOGENESIS,200,200,1.0,True
HALLMARK_ALLOGRAFT_REJECTION,200,200,1.0,True
HALLMARK_ANGIOGENESIS,36,36,1.0,True
HALLMARK_APICAL_JUNCTION,200,200,1.0,True
HALLMARK_APICAL_SURFACE,44,44,1.0,True
HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,74,1.0,True
HALLMARK_COAGULATION,138,138,1.0,True
HALLMARK_COMPLEMENT,200,200,1.0,True
HALLMARK_DNA_REPAIR,150,150,1.0,True
HALLMARK_E2F_TARGETS,200,200,1.0,True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,200,1.0,True
HALLMARK_ESTROGEN_RESPONSE_EARLY,200,200,1.0,True
HALLMARK_ESTROGEN_RESPONSE_LATE,200,200,1.0,True
HALLMARK_GLYCOLYSIS,200,200,1.0,True
HALLMARK_HEDGEHOG_SIGNALING,36,36,1.0,True
HALLMARK_HYPOXIA,200,200,1.0,True
HALLMARK_IL2_STAT5_SIGNALING,199,199,1.0,True
HALLMARK_IL6_JAK_STAT3_SIGNALING,87,87,1.0,True
HALLMARK_INFLAMMATORY_RESPONSE,200,200,1.0,True
HALLMARK_INTERFERON_ALPHA_RESPONSE,97,97,1.0,True
HALLMARK_KRAS_SIGNALING_UP,200,200,1.0,True
HALLMARK_MTORC1_SIGNALING,200,200,1.0,True
HALLMARK_MYC_TARGETS_V1,200,200,1.0,True
HALLMARK_MYC_TARGETS_V2,58,58,1.0,True
HALLMARK_MYOGENESIS,200,200,1.0,True
HALLMARK_NOTCH_SIGNALING,32,32,1.0,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,200,1.0,True
HALLMARK_PANCREAS_BETA_CELLS,40,40,1.0,True
HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,105,1.0,True
HALLMARK_PROTEIN_SECRETION,96,96,1.0,True
HALLMARK_SPERMATOGENESIS,135,135,1.0,True
HALLMARK_TGF_BETA_SIGNALING,54,54,1.0,True
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,113,1.0,True
HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,42,1.0,True
HALLMARK_XENOBIOTIC_METABOLISM,200,200,1.0,True
HALLMARK_G2M_CHECKPOINT,200,199,0.995,True
HALLMARK_INTERFERON_GAMMA_RESPONSE,200,199,0.995,True
HALLMARK_KRAS_SIGNALING_DN,200,199,0.995,True
HALLMARK_P53_PATHWAY,200,199,0.995,True
HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,199,0.995,True
HALLMARK_MITOTIC_SPINDLE,199,198,0.9949748743718593,True
HALLMARK_APOPTOSIS,161,160,0.9937888198757764,True
HALLMARK_FATTY_ACID_METABOLISM,158,157,0.9936708860759493,True
HALLMARK_UV_RESPONSE_UP,158,157,0.9936708860759493,True
HALLMARK_UV_RESPONSE_DN,144,143,0.9930555555555556,True
HALLMARK_BILE_ACID_METABOLISM,112,111,0.9910714285714286,True
HALLMARK_PEROXISOME,104,103,0.9903846153846154,True
HALLMARK_ANDROGEN_RESPONSE,101,100,0.9900990099009901,True
HALLMARK_HEME_METABOLISM,200,198,0.99,True
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,48,0.9795918367346939,True
