primary_tissue,model,n,pearson_r,spearman_rho,rmse,mae,mean_error_pred_minus_obs
bone,Mean baseline,18,-0.24369688506965498,-0.20390543091749938,1.369254530324012,1.1745461711942677,-0.9069132309617296
bone,Elastic Net,18,-0.026344449283711727,-0.11455108359133126,1.1021786993161646,0.9367407935773334,0.08331839290399995
bone,Random forest,18,-0.03703143745172224,-0.007223942208462332,1.05829650925761,0.9078258991094553,-0.12113232039199295
breast,Mean baseline,26,0.035381293309972014,0.0582973132477824,1.1008760397171597,0.9149069225106489,-0.7230370008519675
breast,Elastic Net,26,0.5869975614263404,0.5535042735042734,0.7470824977698669,0.5944505367287051,-0.30814974605455886
breast,Random forest,26,0.5258225289331793,0.5158974358974359,0.8139371787571376,0.6433466027797314,-0.4026444930126983
central_nervous_system,Mean baseline,41,-0.012046471719641377,0.044875764775504416,1.0503121759439484,0.8712633441131332,-0.6832719969882894
central_nervous_system,Elastic Net,41,0.354381129447191,0.3108013937282231,0.7538533320582345,0.5740935369121439,-0.0712891837504951
central_nervous_system,Random forest,41,0.4096025365347551,0.30226480836236935,0.7456709213572732,0.5638715932282231,-0.127792867964566
colorectal,Mean baseline,34,-0.11561336583105852,-0.09789240478325047,1.2223721443008004,1.0315109193750436,0.5973058019922277
colorectal,Elastic Net,34,0.649090049129793,0.6180290297937356,0.8324829359775923,0.7268155356441094,0.0009907262647141206
colorectal,Random forest,34,0.6638631526616959,0.6391138273491214,0.8416408977916884,0.7268554018470624,0.0410539614125485
esophagus,Mean baseline,24,-0.03267663329875365,-0.1122612921686417,0.6793624978504675,0.5868585857115926,-0.092218660488685
esophagus,Elastic Net,24,-0.07385223989215711,-0.1391304347826087,0.9261861860338148,0.7350684754449667,-0.32272128769921665
esophagus,Random forest,24,0.05025504498068864,0.01652173913043478,0.8658465197590014,0.6996390545163615,-0.4062252376130539
gastric,Mean baseline,19,-0.05950835828748721,-0.1706488016374375,1.274807826894116,0.9854798392844182,0.30022975931347434
gastric,Elastic Net,19,0.3078336569500071,0.3403508771929824,1.1841220188973671,0.9259454583811212,0.06903141514487895
gastric,Random forest,19,0.33854438199217723,0.3596491228070175,1.1657014436970425,0.939166794218264,0.06270025148052348
kidney,Mean baseline,19,-0.4002572044148921,-0.4301909230672839,1.0288221199703722,0.8302413684838782,-0.34831557113411893
kidney,Elastic Net,19,0.33309236780001195,0.3877192982456141,0.9038025921611924,0.7365114277537611,-0.06937108522743472
kidney,Random forest,19,0.19692073616843217,0.1649122807017544,0.968917619074526,0.756029852927477,-0.242085415587423
liver,Mean baseline,21,0.16248449763737144,0.1453165546479353,1.4345764849016074,1.2107083049771026,0.5473089682922183
liver,Elastic Net,21,0.337541789871031,0.3337662337662338,1.3416586880179977,1.1248790125641908,0.43634708249904763
liver,Random forest,21,0.39064949975614865,0.4051948051948052,1.34295836112473,1.1466281109331535,0.5385387919841017
lung,Mean baseline,98,-0.20894205158070406,-0.18566634740395913,1.2210009946250677,1.0285756059629507,-0.2451683270480964
lung,Elastic Net,98,0.4526232743644613,0.4832864729771945,1.063567662337654,0.8407900943972574,-0.0793436555389431
lung,Random forest,98,0.42121432035744,0.465498664320461,1.0907658656275419,0.8615101354922132,-0.16440908059102735
ovary,Mean baseline,38,-0.16834881360529136,-0.07367483742090425,0.9792909550304023,0.7790168009387279,-0.32799861495594973
ovary,Elastic Net,38,0.5567424293455481,0.4964438122332859,0.7683432905655171,0.6058960983100816,0.04204525331500785
ovary,Random forest,38,0.44012325701053445,0.45573913994966625,0.8357266999857214,0.6678103496792127,-0.13948721095992944
pancreas,Mean baseline,36,-0.2416304331005566,-0.28131048085992083,1.3350935344379717,1.124862923115434,0.7720773281161317
pancreas,Elastic Net,36,0.5644301894761851,0.5407979407979409,0.8923065411588676,0.6399476550884167,-0.04373039296419446
pancreas,Random forest,36,0.49793428822204866,0.4586872586872587,0.9558335173299832,0.7589873152343974,0.15921136166778627
skin,Mean baseline,42,0.1706519354154401,0.2007877598114243,1.410543000091991,1.190516520868859,0.899356143673718
skin,Elastic Net,42,0.21110099563631052,0.16943521594684388,1.098872976545766,0.9478979910135953,0.20442880324669047
skin,Random forest,42,0.25338169984092485,0.2619722874969614,1.1417200733160977,1.0066532820187253,0.43403510407541646
upper_aerodigestive,Mean baseline,27,-0.062350932600497774,-0.13414236795544063,1.4604134596597225,1.2060091814715956,0.8275089251112435
upper_aerodigestive,Elastic Net,27,0.40950791109610696,0.31318681318681324,1.1143278871885671,0.8708819758871668,0.20323984425475933
upper_aerodigestive,Random forest,27,0.5271996678597892,0.3724053724053724,1.072099666722679,0.8515427505063932,0.19960048892213517
urinary_tract,Mean baseline,24,-0.28668224749935034,-0.30095586498956844,1.4605269809590968,1.1649389533838104,0.6139157638948671
urinary_tract,Elastic Net,24,0.5224978283755313,0.4652173913043478,1.2089636232294236,0.916329470577125,0.400348102550875
urinary_tract,Random forest,24,0.5736726192019617,0.5730434782608694,1.2185797515129504,0.9594535351097687,0.47061327784460816
uterus,Mean baseline,23,-0.16349844877339273,-0.18902583404965104,1.1684636723811213,0.942991772534025,-0.7557697643513821
uterus,Elastic Net,23,-0.08397773578285156,-0.1116600790513834,1.0203583440355672,0.8383016903116957,-0.27381278797143477
uterus,Random forest,23,-0.0687900115876314,-0.07806324110671936,1.0696421618164536,0.8719192117700787,-0.46186473700524056
